ID,県名,集落名,記号,音調コード,音調体系,位置情報,代表地点名,緯度,経度,備考
H-119,佐賀,浜崎,△,3,曖昧音調1,C3,唐津市立浜崎小学校,33.44385999,130.0408499,
H-120,佐賀,唐津,▲,1,東京式音調,B-C3,唐津市役所,33.45011779,129.9681269,「からつ」。重複あり
H-121,佐賀,値賀,×,4,一型音調,B3,玄海町役場値賀出張所,33.49529935,129.8454754,「ちが」
H-122,佐賀,久里,×,4,一型音調,C3,久里公民館,33.40518555,129.9889668,「くり」
H-123,佐賀,北波多,×,4,一型音調,C3,北波多市民センター,33.3753734,129.9506004,「きたはた」
H-124,佐賀,波多津,×,4,一型音調,B3,波多津コミュニティセンター,33.3719857,129.8720867,「はたつ」
H-125,佐賀,佐賀,●,5,京阪式音調,C3,佐賀市役所,33.26350558,130.3007263,
H-126,佐賀,厳木,●,5,京阪式音調,C3,唐津市　厳木市民センター,33.32143912,130.0647348,「きゅうらぎ」
H-127,佐賀,小城,●,5,京阪式音調,C4,小城市役所,33.27367608,130.2167515,「おぎ」
H-128,佐賀,多久,●,5,京阪式音調,C4,多久市役所,33.28843168,130.1102036,「たく」
H-129,佐賀,提川,●,5,京阪式音調,C3,提川公民館,33.2838053,129.9458863,「さげのかわ」
H-130,佐賀,伊万里,●,5,京阪式音調,B3,伊万里市役所,33.26467232,129.880456,
H-131,佐賀,大山,●,5,京阪式音調,B3-4,有田町立大山小学校,33.22284541,129.8502228,
H-132,佐賀,久原,●,5,京阪式音調,B3,久原駅,33.31397784,129.8119203,「くばら」
H-133,佐賀,有田,●,5,京阪式音調,B4,有田町役場,33.21058137,129.8490181,
H-134,佐賀,武雄,●,5,京阪式音調,C4,武雄市役所,33.19475314,130.0215834,「たけお」
H-135,佐賀,鹿島,●,5,京阪式音調,C4,鹿島市役所,33.10400507,130.0980961,
H-136,佐賀,嬉野,●,5,京阪式音調,C4,嬉野市役所　嬉野庁舎,33.10082766,129.9871236,
H-137,佐賀,多良,●,5,京阪式音調,C4,太良町立多良小学校,33.02344713,130.1753714,「たら」
H-138,佐賀,大浦,●,5,京阪式音調,C4,太良町　大浦支所,32.97387524,130.2052576,
H-139,長崎（対馬）,佐須奈,▽,6,特殊音調1B,A1,対馬市立佐須奈小中学校,34.63927422,129.4005331,對→対　
H-140,長崎（対馬）,鹿見,▽,6,特殊音調1B,A1,鹿見郵便局,34.51499418,129.3154958,「ししみ」
H-141,長崎（対馬）,鶏知,▽,6,特殊音調1B,A2,鶏知郵便局,34.26870037,129.3125363,「けち」
H-142,長崎（対馬）,小茂田,▽,6,特殊音調1B,A2,小茂田郵便局,34.23179126,129.1949699,「こもだ」
H-143,長崎（対馬）,厳原,▽,6,特殊音調1B,A2,対馬市厳原地区公民館,34.20373915,129.2890375,「いづはら」
H-144,長崎（対馬）,豆酘,▽,6,特殊音調1B,A2,対馬市豆酘窓口センター,34.12486087,129.1829509,「つつ」
H-145,長崎（壱岐）,勝本,◎,7,特殊音調2,B2,壱岐市勝本支所,33.84870437,129.6920132,壹→壱　
H-146,長崎（壱岐）,芦辺,◎,7,特殊音調2,B2,壱岐市芦辺支所,33.80209869,129.7627182,
H-147,長崎（壱岐）,郷浦,◎,7,特殊音調2,B2-3,壱岐消防署郷ノ浦支署,33.75124195,129.7153185,
H-148,長崎,今福,×,4,一型音調,B3,松浦市　今福支所,33.35168141,129.7657875,「いまぶく」
H-149,長崎,志佐,×,4,一型音調,B3,松浦市立志佐小学校,33.3366697,129.7067995,「しさ」
H-150,長崎,日浦,×,4,一型音調,B3,日の浦公民館,33.36319656,129.5792121,
H-151,長崎,江迎,×,4,一型音調,B3,佐世保市役所　江迎支所,33.30939827,129.6288233,「えむかえ」
H-152,長崎（平戸）,平戸,×,4,一型音調,B3,平戸市役所,33.36806639,129.5536798,
H-153,長崎（平戸）,宝亀,×,4,一型音調,B3,宝亀第一公会堂,33.30655486,129.5135955,「ほうき」
H-154,長崎（平戸）,中野,×,4,一型音調,B3,平戸市立中野小学校,33.33480504,129.5125201,
H-155,長崎,生月,×,4,一型音調,B3,平戸市　生月支所,33.38662567,129.4307034,「いきつき」
H-156,長崎,上志佐,×,4,一型音調,B3-4,松浦市　上志佐出張所,33.3080745,129.7286655,「かみしさ」
H-157,長崎,佐世保,×,4,一型音調,B4,佐世保市役所,33.17986622,129.7152453,
H-158,長崎,三河内,●,5,京阪式音調,B4,佐世保市三川内地区コミュニティセンター,33.15267478,129.8294095,「みかわち」
H-159,長崎,早岐,●,5,京阪式音調,B4,佐世保市早岐支所,33.13681632,129.7973925,「はいき」
H-160,長崎,江上,●,5,京阪式音調,B4,佐世保市役所江上支所,33.10849878,129.7833792,
H-161,長崎,大串,●,5,京阪式音調,B4,西海市立大串小学校,32.99941602,129.7306597,
H-162,長崎,彼杵,●,5,京阪式音調,B4,彼杵小学校,33.03763276,129.9151105,「そのぎ」
H-163,長崎,川棚,×,4,一型音調,B4,川棚町役場,33.07266255,129.8615513,「かわたな」
H-164,長崎,大村,●,5,京阪式音調,B-C4,大村市役所,32.90004339,129.9584336,
H-165,長崎,神代,●,5,京阪式音調,C4,雲仙市立神代小学校,32.8694581,130.271175,「こうじろ」
H-166,長崎,島原,▲,1,東京式音調,C4,島原市役所,32.78819293,130.3702916,重複あり
H-167,長崎,千々石,●,5,京阪式音調,C4,雲仙市　千々石総合支所,32.78379614,130.2020892,「ちぢわ」
H-168,長崎,深江,●,5,京阪式音調,C5,南島原市　深江支所,32.71846801,130.3535792,「ふかえ」
H-169,長崎,小浜,●,5,京阪式音調,C4-5,雲仙市　小浜総合支所,32.72989327,130.2065246,「おばま」
H-170,長崎,西有家,●,5,京阪式音調,C5,南島原市立西有家小学校,32.6577156,130.2976614,「にしありえ」
H-171,長崎,口之津,●,5,京阪式音調,C5,南島原市　口之津支所,32.60948525,130.1858219,「くちのつ」
H-172,長崎,加津佐,●,5,京阪式音調,C5,南島原市　加津佐支所,32.63128146,130.1591491,「かづさ」
H-173,長崎,諫早,●,5,京阪式音調,C4,諫早市中央公民館,32.84384971,130.0542009,「いさはや」
H-174,長崎,時津,●,5,京阪式音調,B4,時津町役場,32.82875839,129.8485468,「とぎつ」
H-175,長崎,三重,●,5,京阪式音調,B4,長崎市三重地域センター,32.82514037,129.7475906,
H-176,長崎,式見,●,5,京阪式音調,B4,長崎市式見地域センター,32.78676195,129.7920713,
H-177,長崎,長崎,●,5,京阪式音調,B4-5,長崎市役所,32.75018047,129.8779238,
H-178,長崎,福田,●,5,京阪式音調,B4-5,長崎市福田地域センター,32.74597412,129.8206966,
H-179,長崎,茂木,●,5,京阪式音調,B5,長崎市　茂木地域センター,32.70789654,129.9123365,
H-180,長崎,為石,●,5,京阪式音調,B5,長崎市　為石地区公民館,32.64174276,129.8388493,「ためし」
H-181,長崎,野母,●,5,京阪式音調,B5,長崎市　野母地区公民館,32.58123152,129.7522852,「のも」
H-182,長崎（宇久島）,神浦,×,4,一型音調,A4,旧神浦小学校,33.25557135,129.1051029,「こうのうら」
H-183,長崎（宇久島）,平,×,4,一型音調,A4,宇久平郵便局,33.2628196,129.1336911,
H-184,長崎（小値賀島）,笛吹,×,4,一型音調,A4,離島待合所笛吹,33.18613788,129.060261,「ふえふき」
H-185,長崎（中通島）,榎津,×,4,一型音調,A4,榎津神社,32.99608682,129.093302,「えのきづ」
H-186,長崎（中通島）,有川,×,4,一型音調,A4,新上五島町　有川支所,32.98320351,129.1164219,
H-187,長崎（福江島）,岐宿,×,4,一型音調,A5,五島市　岐宿支所,32.7500827,128.7601431,「きしく」
H-188,長崎（福江島）,福江,×,4,一型音調,A5,五島市立福江地区公民館,32.6941827,128.846345,
H-189,長崎（福江島）,富江,×,4,一型音調,A5,五島市　富江支所,32.61479047,128.7668458,
H-190,熊本,奴留湯,×,4,一型音調,E4,奴留湯温泉,33.14117616,131.1000675,「ぬるゆ」
H-191,熊本,杖立,×,4,一型音調,D4,杖立温泉,33.18307042,131.0346247,
H-192,熊本,宮原,×,4,一型音調,D-E4,小国町立小国小学校,33.11893078,131.0726836,旧宮原小学校を含む複数の小学校が統合され小国小学校となった。
H-193,熊本,杉平,×,4,一型音調,D4,杉平菅原神社,33.12812982,130.9997531,
H-194,熊本,山鹿,×,4,一型音調,E4,山鹿地区公民館,32.99585164,131.2138574,「やまが」　※同地名あり
H-195,熊本,内牧,×,4,一型音調,D4,阿蘇市立内牧小学校,32.97605538,131.0471089,「うちのまき」
H-196,熊本,波野,×,4,一型音調,E4,阿蘇市　波野支所,32.93320413,131.2310845,
H-197,熊本,宮地,×,4,一型音調,D-E4,宮地駅,32.93726273,131.117556,「みやじ」
H-198,熊本,野尻,×,4,一型音調,E4,高森町　野尻出張所,32.83059196,131.2615561,「のじり」
H-199,熊本,高森,×,4,一型音調,D4,高森町役場,32.82729467,131.122191,髙→高
H-200,熊本,水源,×,4,一型音調,D4,南阿蘇白川水源駅,32.82231704,131.0914807,
H-201,熊本,隈府,×,4,一型音調,D4,菊池市立隈府小学校,32.97889635,130.8109478,「わいふ」
H-202,熊本,耒民,×,4,一型音調,D4,鹿本市民センター,33.0028715,130.7380522,
H-203,熊本,広見,×,4,一型音調,C-D4,広見小学校跡地,33.08417285,130.6932066,
H-204,熊本,山鹿,×,4,一型音調,D4,山鹿市役所本庁,33.01750026,130.691213,「やまが」
H-205,熊本,南関,●,5,京阪式音調,C4,南関町役場,33.05975406,130.543842,「なんかん」
H-206,熊本,長洲,●,5,京阪式音調,C4,長洲町役場,32.92976327,130.4527094,
H-207,熊本,大津,×,4,一型音調,D4,大津町役場,32.87849106,130.8681307,「おおづ」
H-208,熊本,木葉,×,4,一型音調,D4,玉東町立木葉小学校,32.92090598,130.6201861,
H-209,熊本,長陽,×,4,一型音調,D4,長陽中央公民館,32.85921577,131.0006752,
H-210,熊本,山西,×,4,一型音調,D4,西原村立山西小学校,32.8405553,130.9041425,地点修正(240313)
H-211,熊本,熊本,×,4,一型音調,D4,熊本市役所,32.80206866,130.7040439,
H-212,熊本,百貫石,●,5,京阪式音調,D4,百貫石公園,32.78247251,130.6246696,「ひゃっかんせき」
H-213,熊本,小島,●,5,京阪式音調,D4,小島地域コミュニティセンター,32.77564002,130.6376751,「おしま」
H-214,熊本,馬見原,×,4,一型音調,D4,馬見原公民館,32.68371772,131.1535824,「まみはら」
H-215,熊本,木倉,●,5,京阪式音調,D4-5,木倉公民館,32.72120895,130.8118909,「きのくら」
H-216,熊本,御舟,●,5,京阪式音調,D5,御船町役場,32.71457592,130.801977,「みふね」
H-217,熊本,白旗,●,5,京阪式音調,D5,甲佐町　白旗福祉ふれあいセンター,32.69860484,130.7876647,「しらはた」
H-218,熊本,隈庄,●,5,京阪式音調,D5,熊本市立隈庄小学校,32.70817439,130.7267683,「くまのしょう」
H-219,熊本,力合,●,5,京阪式音調,D4,力合地域コミュニティセンター,32.76193711,130.6793222,「りきごう」
H-220,熊本,宇土,●,5,京阪式音調,D5,宇土市役所,32.6879606,130.6597086,「うと」
H-221,熊本,笹原,●,5,京阪式音調,D5,厳嶌神社,32.7014212,130.611619,「ささわら」
H-222,熊本,三角,●,5,京阪式音調,C5,宇城市　三角支所,32.61276673,130.4711201,「みすみ」
H-223,熊本,目丸,×,4,一型音調,D5,JNC（株）目丸発電所,32.61615418,130.9992827,「めまる」
H-224,熊本,中山,●,5,京阪式音調,D5,菅原神社,32.68608531,130.7750122,
H-225,熊本,豊野,●,5,京阪式音調,D5,宇城市　豊野支所,32.63916713,130.7493613,
H-226,熊本,松橋,●,5,京阪式音調,D5,宇城市立松橋小学校,32.65715578,130.6848152,
H-227,熊本,瀬高,●,5,京阪式音調,C5,瀬高公民館前（バス停）,32.55286482,130.4097103,髙→高
H-228,熊本,小野部田,●,5,京阪式音調,D5,宇城市立小野部田小学校,32.60694688,130.7189987,「おのへた」
H-229,熊本,小川,●,5,京阪式音調,D5,宇城市小川支所,32.59664138,130.70404,「おがわ」
H-230,熊本,八代,●,5,京阪式音調,D5,八代市役所,32.50747115,130.6018576,「やつしろ」
H-231,熊本,水上,×,4,一型音調,D5,水上村役場,32.31432387,131.0093649,
H-232,熊本,日奈久,●,5,京阪式音調,C5,八代市役所　日奈久出張所,32.43492698,130.5788583,「ひなぐ」
H-233,熊本,湯前,×,4,一型音調,D6,湯前町立湯前小学校,32.27579048,130.9852233,「ゆのまえ」
H-234,熊本,神瀬,●,5,京阪式音調,D6,神瀬地区多目的集会施設,32.31302594,130.6138803,「こうのせ」
H-235,熊本,白石,●,5,京阪式音調,D6,白石駅,32.30571791,130.6083457,「しらいし」
H-236,熊本,佐敷,●,5,京阪式音調,C6,芦北町立佐敷小学校,32.30763286,130.5009073,「さしき」
H-237,熊本,久米,×,4,一型音調,D6,多良木町久米公民館,32.25040142,130.9597561,
H-238,熊本,多良木,×,4,一型音調,D6,多良木町役場,32.26422599,130.9361479,「たらぎ」
H-239,熊本,免田,×,4,一型音調,D6,あさぎり町立免田小学校,32.23520932,130.8967555,「めんだ」
H-240,熊本,人吉,〇,8,曖昧音調2,D6,人吉市役所,32.20581167,130.7603501,
H-241,熊本,渡,〇,8,曖昧音調2,D6,球磨村立渡小学校,32.24033184,130.6935786,
H-242,熊本,津奈木,●,5,京阪式音調,C6,津奈木町役場,32.23388003,130.439666,「つなぎ」
H-243,熊本,水俣,●,5,京阪式音調,C6,水俣市役所,32.21182216,130.408723,
H-244,熊本,久木野,●,5,京阪式音調,D6,山野線久木野駅跡,32.17204673,130.5272116,「くぎの」
H-245,熊本,下浦,●,5,京阪式音調,C5,天草市　下浦町公民館,32.4217289,130.2301176,「しもうら」
H-246,熊本,本渡,〇,8,曖昧音調2,C5,本渡北公民館,32.46359648,130.1911377,「ほんど」
H-247,熊本,富岡,●,5,京阪式音調,C5,苓北町富岡出張所,32.51845793,130.0358455,
H-248,熊本,宮地,●,5,京阪式音調,C5,天草市役所 新和支所,32.363184,130.1811769,
H-249,熊本,牛深,●,5,京阪式音調,C6,天草市　牛深支所,32.19484622,130.0268205,「うしぶか」
H-250,宮崎,瀬口,▲,1,東京式音調,E-F5,旧瀬口小学校,32.72504602,131.7187115,
H-251,宮崎,浦尻,▲,1,東京式音調,F5,浦城城（浦尻城）,32.63972739,131.7602329,
H-252,宮崎,家田,×,4,一型音調,E5,家田公民館,32.66736911,131.7160689,「えだ」
H-253,宮崎,樫山,×,4,一型音調,E5,大西木材店,32.6028173,131.6772189,
H-254,宮崎,北方,×,4,一型音調,E5,延岡市　北方総合支所,32.56250302,131.5256562,
H-255,宮崎,七折,×,4,一型音調,E5,七折鍾乳洞,32.68115169,131.4112044,
H-256,宮崎,田原,×,4,一型音調,E4,高千穂町　田原出張所,32.77705921,131.2558663,
H-257,宮崎,高千穂,×,4,一型音調,E4,高千穂町役場,32.71174119,131.3077993,髙→高
H-258,宮崎,延岡,×,4,一型音調,E5,延岡市役所,32.58196042,131.6651326,
H-259,宮崎,細島,×,4,一型音調,E5,細島公民館,32.42478961,131.6598789,
H-260,宮崎,富高,×,4,一型音調,E5,日向市立富高小学校,32.42914242,131.6236399,髙→高
